date,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
2/29/2020,1,1,0,37790,20690,58480,12535,4660,17195,11519,15448,20690,36138,2441,5147
3/1/2020,0,1,0,37799,20652,58451,12552,4683,17235,11498,15425,20652,36077,2436,5139
3/2/2020,0,2,0,37786,20631,58417,12530,4675,17205,11488,15415,20631,36046,2448,5166
3/3/2020,1,7,0,37804,20638,58442,12539,4683,17222,11472,15405,20638,36043,2455,5177
3/4/2020,5,2,0,37744,20597,58341,12524,4679,17203,11441,15354,20597,35951,2460,5187
3/5/2020,3,14,0,37681,20542,58223,12529,4662,17191,11428,15323,20542,35865,2451,5167
3/6/2020,8,8,0,37606,20480,58086,12496,4658,17154,11409,15280,20480,35760,2452,5172
3/7/2020,7,8,0,37606,20499,58105,12453,4661,17114,11426,15309,20499,35808,2457,5183
3/8/2020,21,18,0,37680,20478,58158,12522,4660,17182,11418,15305,20478,35783,2462,5193
3/9/2020,57,37,0,37688,20453,58141,12527,4660,17187,11410,15280,20453,35733,2476,5221
3/10/2020,69,58,0,37667,20453,58120,12527,4664,17191,11414,15286,20453,35739,2461,5190
3/11/2020,155,80,1,37653,20465,58118,12519,4663,17182,11416,15276,20465,35741,2463,5195
3/12/2020,355,108,0,37684,20488,58172,12561,4656,17217,11423,15291,20488,35779,2457,5176
3/13/2020,619,151,0,37532,20458,57990,12493,4627,17120,11408,15277,20458,35735,2437,5135
3/14/2020,642,176,2,37452,20467,57919,12436,4600,17036,11406,15281,20467,35748,2438,5135
3/15/2020,1035,210,4,37529,20492,58021,12488,4637,17125,11408,15278,20492,35770,2433,5126
3/16/2020,2121,341,8,37480,20401,57881,12506,4628,17134,11357,15210,20401,35611,2437,5136
3/17/2020,2452,385,8,37503,20421,57924,12511,4626,17137,11373,15228,20421,35649,2438,5138
3/18/2020,2971,494,20,37492,20372,57864,12537,4619,17156,11344,15189,20372,35561,2442,5147
3/19/2020,3706,628,24,37455,20358,57813,12528,4618,17146,11317,15158,20358,35516,2444,5151
3/20/2020,4006,745,47,37303,20352,57655,12413,4610,17023,11310,15148,20352,35500,2433,5132
3/21/2020,2638,741,44,37353,20351,57704,12462,4598,17060,11319,15163,20351,35514,2432,5130
3/22/2020,2580,768,49,37478,20358,57836,12539,4616,17155,11332,15175,20358,35533,2441,5148
3/23/2020,3570,1142,82,37520,20383,57903,12579,4608,17187,11355,15199,20383,35582,2435,5134
3/24/2020,4498,1308,95,37567,20406,57973,12565,4603,17168,11387,15242,20406,35648,2446,5157
3/25/2020,4874,1415,124,37603,20372,57975,12573,4619,17192,11400,15260,20372,35632,2444,5151
3/26/2020,5044,1540,186,37604,20371,57975,12574,4612,17186,11412,15267,20371,35638,2445,5151
3/27/2020,5118,1565,218,37562,20357,57919,12562,4578,17140,11430,15285,20357,35642,2439,5137
3/28/2020,3479,1391,273,37667,20347,58014,12622,4614,17236,11437,15301,20347,35648,2436,5130
3/29/2020,3560,1493,290,37680,20362,58042,12618,4621,17239,11441,15303,20362,35665,2440,5138
3/30/2020,6130,1849,325,37708,20347,58055,12635,4635,17270,11437,15299,20347,35646,2441,5139
3/31/2020,5458,1791,385,37757,20341,58098,12677,4629,17306,11433,15298,20341,35639,2448,5153
4/1/2020,5448,1738,447,37728,20330,58058,12659,4617,17276,11436,15301,20330,35631,2446,5151
4/2/2020,5747,1664,497,37674,20265,57939,12673,4618,17291,11398,15254,20265,35519,2435,5129
4/3/2020,5669,1708,498,37709,20273,57982,12680,4617,17297,11414,15266,20273,35539,2444,5146
4/4/2020,3864,1450,510,37698,20280,57978,12681,4618,17299,11409,15262,20280,35542,2440,5137
4/5/2020,3781,1396,578,37747,20274,58021,12695,4631,17326,11406,15262,20274,35536,2450,5159
4/6/2020,6353,1737,576,37702,20278,57980,12669,4609,17278,11414,15270,20278,35548,2448,5154
4/7/2020,6042,1581,598,37716,20266,57982,12686,4617,17303,11399,15253,20266,35519,2450,5160
4/8/2020,5576,1550,568,37667,20254,57921,12694,4631,17325,11351,15192,20254,35446,2445,5150
4/9/2020,5071,1349,559,37621,20221,57842,12692,4633,17325,11329,15175,20221,35396,2433,5121
4/10/2020,4510,1285,539,37577,20185,57762,12658,4636,17294,11318,15161,20185,35346,2433,5122
4/11/2020,3733,1042,542,37591,20181,57772,12667,4622,17289,11334,15179,20181,35360,2431,5123
4/12/2020,2888,946,571,37606,20170,57776,12667,4626,17293,11352,15188,20170,35358,2432,5125
4/13/2020,3311,1149,570,37664,20181,57845,12693,4635,17328,11371,15219,20181,35400,2428,5117
4/14/2020,4144,977,507,37536,20109,57645,12643,4621,17264,11332,15163,20109,35272,2425,5109
4/15/2020,3876,865,454,37493,20091,57584,12637,4628,17265,11312,15137,20091,35228,2415,5091
4/16/2020,3530,779,413,37478,20023,57501,12720,4662,17382,11230,15032,20023,35055,2402,5064
4/17/2020,3584,788,384,37455,20003,57458,12786,4638,17424,11163,14971,20003,34974,2401,5060
4/18/2020,2172,587,390,37503,19998,57501,12810,4649,17459,11165,14974,19998,34972,2407,5070
4/19/2020,2344,533,399,37456,19991,57447,12781,4628,17409,11164,14971,19991,34962,2410,5076
4/20/2020,3792,630,363,37403,19965,57368,12766,4608,17374,11149,14955,19965,34920,2409,5074
4/21/2020,3063,586,323,37333,19949,57282,12714,4608,17322,11143,14947,19949,34896,2404,5064
4/22/2020,3447,513,311,37386,19976,57362,12779,4595,17374,11155,14964,19976,34940,2396,5048
4/23/2020,2841,443,330,37336,19948,57284,12753,4608,17361,11129,14930,19948,34878,2395,5045
4/24/2020,2535,462,314,37247,19891,57138,12702,4617,17319,11103,14890,19891,34781,2393,5038
4/25/2020,1595,327,264,37222,19899,57121,12702,4614,17316,11108,14891,19899,34790,2381,5015
4/26/2020,1003,313,245,37311,19892,57203,12782,4630,17412,11098,14883,19892,34775,2381,5016
4/27/2020,2289,368,269,37308,19861,57169,12805,4623,17428,11087,14859,19861,34720,2383,5021
4/28/2020,2726,350,229,37239,19858,57097,12774,4601,17375,11089,14861,19858,34719,2373,5003
4/29/2020,2340,311,237,37148,19819,56967,12764,4594,17358,11065,14829,19819,34648,2351,4961
4/30/2020,2022,255,224,37084,19792,56876,12753,4546,17299,11064,14824,19792,34616,2351,4961
5/1/2020,1887,263,210,36955,19750,56705,12703,4499,17202,11030,14771,19750,34521,2361,4982
5/2/2020,1058,204,190,36907,19762,56669,12654,4477,17131,11047,14793,19762,34555,2364,4983
5/3/2020,787,214,177,36915,19730,56645,12685,4484,17169,11032,14771,19730,34501,2357,4975
5/4/2020,1550,240,158,36972,19749,56721,12710,4493,17203,11038,14783,19749,34532,2364,4986
5/5/2020,1512,212,151,36941,19726,56667,12734,4496,17230,11028,14767,19726,34493,2342,4944
5/6/2020,1398,215,151,37006,19760,56766,12748,4529,17277,11040,14788,19760,34548,2341,4941
5/7/2020,1239,173,142,36932,19760,56692,12711,4517,17228,11033,14773,19760,34533,2337,4931
5/8/2020,1080,172,131,37038,19707,56745,12809,4531,17340,11011,14748,19707,34455,2345,4950
5/9/2020,657,122,99,37061,19710,56771,12800,4542,17342,11013,14754,19710,34464,2351,4965
5/10/2020,457,102,103,37096,19706,56802,12826,4536,17362,11015,14753,19706,34459,2358,4981
5/11/2020,1231,181,104,37099,19700,56799,12810,4561,17371,11014,14750,19700,34450,2356,4978
5/12/2020,1285,114,90,36987,19649,56636,12788,4539,17327,10990,14715,19649,34364,2340,4945
5/13/2020,1333,125,83,36952,19676,56628,12744,4516,17260,11014,14747,19676,34423,2341,4945
5/14/2020,1110,144,70,36924,19628,56552,12790,4501,17291,10978,14700,19628,34328,2335,4933
5/15/2020,873,124,86,36876,19616,56492,12745,4493,17238,10976,14698,19616,34314,2337,4940
5/16/2020,485,93,83,36889,19598,56487,12775,4488,17263,10960,14681,19598,34279,2340,4945
5/17/2020,360,82,77,36937,19574,56511,12815,4504,17319,10948,14669,19574,34243,2342,4949
5/18/2020,895,114,59,36933,19528,56461,12830,4499,17329,10942,14657,19528,34185,2342,4947
5/19/2020,1003,117,55,36948,19566,56514,12825,4503,17328,10956,14677,19566,34243,2339,4943
5/20/2020,1077,78,79,36975,19559,56534,12872,4510,17382,10953,14674,19559,34233,2328,4919
5/21/2020,1069,84,45,36934,19546,56480,12871,4506,17377,10930,14637,19546,34183,2328,4920
5/22/2020,1036,102,65,36888,19552,56440,12819,4496,17315,10946,14659,19552,34211,2325,4914
5/23/2020,455,74,60,36870,19494,56364,12821,4523,17344,10918,14611,19494,34105,2325,4915
5/24/2020,467,88,48,36844,19490,56334,12810,4510,17320,10919,14612,19490,34102,2325,4912
5/25/2020,464,78,47,36871,19522,56393,12813,4501,17314,10938,14639,19522,34161,2328,4918
5/26/2020,1050,75,38,36883,19541,56424,12811,4506,17317,10942,14642,19541,34183,2332,4924
5/27/2020,741,76,48,36892,19550,56442,12830,4512,17342,10949,14641,19550,34191,2324,4909
5/28/2020,646,80,38,36870,19485,56355,12860,4504,17364,10923,14608,19485,34093,2319,4898
5/29/2020,639,85,43,36842,19472,56314,12841,4495,17336,10922,14609,19472,34081,2319,4897
5/30/2020,346,55,52,36753,19414,56167,12797,4502,17299,10887,14566,19414,33980,2315,4888
5/31/2020,230,60,39,36873,19410,56283,12891,4522,17413,10887,14569,19410,33979,2317,4891
6/1/2020,686,84,35,36916,19403,56319,12957,4501,17458,10885,14564,19403,33967,2319,4894
6/2/2020,571,63,37,36918,19409,56327,12983,4492,17475,10888,14567,19409,33976,2311,4876
6/3/2020,515,75,43,36880,19369,56249,12972,4501,17473,10859,14528,19369,33897,2312,4879
6/4/2020,520,76,33,36856,19329,56185,12993,4504,17497,10840,14498,19329,33827,2304,4861
6/5/2020,402,56,28,36852,19249,56101,13031,4479,17510,10809,14451,19249,33700,2318,4891
6/6/2020,247,36,34,36766,19256,56022,12958,4478,17436,10810,14446,19256,33702,2314,4884
6/8/2020,447,62,39,36851,19265,56116,13021,4472,17493,10821,14477,19265,33742,2312,4881
6/9/2020,419,65,31,36836,19246,56082,13035,4465,17500,10813,14471,19246,33717,2305,4865
6/10/2020,363,63,32,36811,19224,56035,13033,4481,17514,10796,14447,19224,33671,2297,4850
6/11/2020,363,50,21,36788,19240,56028,13001,4501,17502,10802,14451,19240,33691,2290,4835
6/12/2020,409,53,23,36737,19224,55961,12956,4497,17453,10797,14439,19224,33663,2295,4845
6/13/2020,196,34,15,36734,19238,55972,12935,4478,17413,10805,14453,19238,33691,2306,4868
6/14/2020,180,46,23,36794,19237,56031,12993,4491,17484,10801,14448,19237,33685,2303,4862
6/15/2020,380,53,20,36814,19256,56070,13012,4467,17479,10800,14444,19256,33700,2318,4891
6/17/2020,356,50,19,36717,19195,55912,13052,4442,17494,10774,14394,19195,33589,2286,4829
6/18/2020,378,58,17,36640,19170,55810,13054,4387,17441,10755,14365,19170,33535,2289,4834
6/19/2020,361,45,15,36647,19136,55783,13031,4466,17497,10725,14332,19136,33468,2282,4818
6/20/2020,203,27,17,36641,19133,55774,13028,4471,17499,10722,14328,19133,33461,2281,4814
6/21/2020,172,43,23,36638,19131,55769,12991,4493,17484,10727,14338,19131,33469,2281,4816
6/22/2020,402,50,17,36687,19170,55857,13010,4485,17495,10742,14365,19170,33535,2287,4827
6/23/2020,381,44,19,36689,19152,55841,13009,4478,17487,10745,14370,19152,33522,2289,4832
6/24/2020,381,54,17,36614,19045,55659,13045,4492,17537,10675,14276,19045,33321,2273,4801
6/25/2020,298,43,15,36605,19018,55623,13035,4492,17527,10681,14279,19018,33297,2272,4799
6/26/2020,317,33,17,36530,18983,55513,12985,4487,17472,10662,14261,18983,33244,2271,4797
6/28/2020,201,33,11,36556,18984,55540,13056,4467,17523,10657,14256,18984,33240,2261,4777
6/29/2020,437,49,16,36565,18980,55545,13080,4466,17546,10658,14260,18980,33240,2253,4759
6/30/2020,441,46,11,36562,18991,55553,13066,4464,17530,10664,14260,18991,33251,2260,4772
7/1/2020,395,38,9,36559,19001,55560,13038,4453,17491,10677,14286,19001,33287,2264,4782
7/2/2020,416,46,15,36486,18987,55473,13005,4453,17458,10670,14266,18987,33253,2254,4762
7/3/2020,234,30,11,36433,18940,55373,13013,4451,17464,10641,14226,18940,33166,2245,4743
7/4/2020,120,30,5,36268,18967,55235,12825,4437,17262,10655,14247,18967,33214,2253,4759
7/5/2020,155,27,8,36445,18957,55402,13015,4439,17454,10653,14241,18957,33198,2249,4750
7/6/2020,431,55,6,36555,18949,55504,13067,4481,17548,10658,14243,18949,33192,2254,4764
7/7/2020,461,47,6,36468,18926,55394,13086,4451,17537,10633,14198,18926,33124,2239,4733
7/8/2020,437,34,14,36471,18906,55377,13099,4463,17562,10621,14171,18906,33077,2243,4738
7/9/2020,390,46,6,36505,18951,55456,13102,4466,17568,10652,14211,18951,33162,2237,4726
7/10/2020,306,44,5,36557,18930,55487,13152,4486,17638,10641,14195,18930,33125,2236,4724
7/11/2020,259,33,8,36547,18913,55460,13151,4462,17613,10636,14194,18913,33107,2244,4740
7/11/2020,259,33,8,36547,18913,55460,13151,4462,17613,10636,14194,18913,33107,2244,4740
7/12/2020,223,27,4,36495,18867,55362,13117,4486,17603,10602,14151,18867,33018,2243,4741
7/13/2020,483,50,14,36477,18858,55335,13136,4465,17601,10590,14130,18858,32988,2245,4746
7/14/2020,402,43,11,36472,18895,55367,13108,4470,17578,10617,14168,18895,33063,2235,4726
7/14/2020,402,43,11,36472,18895,55367,13108,4470,17578,10617,14168,18895,33063,2235,4726
7/15/2020,440,44,12,36333,18918,55251,12933,4481,17414,10638,14195,18918,33113,2234,4724
7/16/2020,411,35,6,36447,18874,55321,13089,4476,17565,10612,14159,18874,33033,2235,4723
7/16/2020,411,35,6,36447,18874,55321,13089,4476,17565,10612,14159,18874,33033,2235,4723
7/17/2020,413,50,11,36393,18854,55247,13070,4461,17531,10601,14156,18854,33010,2228,4706
7/17/2020,413,50,11,36393,18854,55247,13070,4461,17531,10601,14156,18854,33010,2228,4706
7/18/2020,216,27,9,36358,18802,55160,13061,4477,17538,10568,14106,18802,32908,2232,4714
7/18/2020,216,27,9,36358,18802,55160,13061,4477,17538,10568,14106,18802,32908,2232,4714
7/19/2020,176,38,7,36409,18825,55234,13081,4478,17559,10577,14127,18825,32952,2235,4723
7/19/2020,176,38,7,36409,18825,55234,13081,4478,17559,10577,14127,18825,32952,2235,4723
7/20/2020,401,38,7,36438,18820,55258,13112,4479,17591,10579,14126,18820,32946,2234,4721
7/20/2020,401,38,7,36438,18820,55258,13112,4479,17591,10579,14126,18820,32946,2234,4721
7/21/2020,340,24,6,36462,18834,55296,13128,4488,17616,10593,14137,18834,32971,2227,4709
7/21/2020,340,24,6,36462,18834,55296,13128,4488,17616,10593,14137,18834,32971,2227,4709
7/22/2020,329,40,6,36464,18820,55284,13168,4474,17642,10585,14118,18820,32938,2225,4704
7/22/2020,329,40,6,36464,18820,55284,13168,4474,17642,10585,14118,18820,32938,2225,4704
7/23/2020,308,32,8,36405,18801,55206,13120,4487,17607,10574,14102,18801,32903,2222,4696
7/23/2020,308,32,8,36405,18801,55206,13120,4487,17607,10574,14102,18801,32903,2222,4696
7/24/2020,298,41,5,36362,18761,55123,13113,4461,17574,10568,14099,18761,32860,2220,4689
7/24/2020,298,41,5,36362,18761,55123,13113,4461,17574,10568,14099,18761,32860,2220,4689
7/25/2020,153,35,11,36376,18758,55134,13114,4466,17580,10565,14099,18758,32857,2225,4697
7/25/2020,153,35,11,36376,18758,55134,13114,4466,17580,10565,14099,18758,32857,2225,4697
7/26/2020,140,25,7,36388,18730,55118,13145,4486,17631,10547,14076,18730,32806,2217,4681
7/26/2020,140,25,7,36388,18730,55118,13145,4486,17631,10547,14076,18730,32806,2217,4681
7/27/2020,312,39,3,36359,18717,55076,13130,4489,17619,10537,14067,18717,32784,2214,4673
7/27/2020,312,39,3,36359,18717,55076,13130,4489,17619,10537,14067,18717,32784,2214,4673
7/28/2020,313,37,11,36355,18724,55079,13129,4481,17610,10550,14090,18724,32814,2205,4655
7/28/2020,313,37,11,36355,18724,55079,13129,4481,17610,10550,14090,18724,32814,2205,4655
7/29/2020,287,30,5,36364,18684,55048,13160,4491,17651,10527,14045,18684,32729,2212,4668
7/29/2020,287,30,5,36364,18684,55048,13160,4491,17651,10527,14045,18684,32729,2212,4668
7/30/2020,274,37,4,36374,18716,55090,13141,4508,17649,10542,14062,18716,32778,2208,4663
7/30/2020,274,37,4,36374,18716,55090,13141,4508,17649,10542,14062,18716,32778,2208,4663
7/31/2020,262,34,3,36212,18718,54930,13048,4486,17534,10529,14040,18718,32758,2195,4638
7/31/2020,262,34,3,36212,18718,54930,13048,4486,17534,10529,14040,18718,32758,2195,4638
8/1/2020,189,27,6,36156,18654,54810,13049,4481,17530,10486,13982,18654,32636,2198,4644
8/1/2020,189,27,6,36156,18654,54810,13049,4481,17530,10486,13982,18654,32636,2198,4644
8/2/2020,135,32,2,36248,18708,54956,13072,4496,17568,10524,14032,18708,32740,2200,4648
8/2/2020,135,32,2,36248,18708,54956,13072,4496,17568,10524,14032,18708,32740,2200,4648
8/3/2020,348,39,2,36306,18672,54978,13118,4503,17621,10508,14006,18672,32678,2214,4679
8/3/2020,348,39,2,36306,18672,54978,13118,4503,17621,10508,14006,18672,32678,2214,4679
8/4/2020,187,32,4,36268,18675,54943,13104,4497,17601,10507,14011,18675,32686,2203,4656
8/4/2020,187,32,4,36268,18675,54943,13104,4497,17601,10507,14011,18675,32686,2203,4656
8/5/2020,298,39,6,36241,18627,54868,13096,4498,17594,10488,13972,18627,32599,2213,4675
8/5/2020,298,39,6,36241,18627,54868,13096,4498,17594,10488,13972,18627,32599,2213,4675
8/6/2020,288,34,5,36276,18669,54945,13148,4481,17629,10508,13987,18669,32656,2205,4660
8/6/2020,288,34,5,36276,18669,54945,13148,4481,17629,10508,13987,18669,32656,2205,4660
8/7/2020,255,24,2,36205,18633,54838,13117,4485,17602,10490,13955,18633,32588,2199,4648
8/7/2020,255,24,2,36205,18633,54838,13117,4485,17602,10490,13955,18633,32588,2199,4648
8/8/2020,160,20,4,36139,18623,54762,13085,4475,17560,10486,13943,18623,32566,2194,4636
8/8/2020,160,20,4,36139,18623,54762,13085,4475,17560,10486,13943,18623,32566,2194,4636
8/9/2020,133,27,3,36222,18619,54841,13140,4496,17636,10483,13945,18619,32564,2196,4641
8/9/2020,133,27,3,36222,18619,54841,13140,4496,17636,10483,13945,18619,32564,2196,4641
8/10/2020,312,41,5,36230,18611,54841,13116,4514,17630,10480,13937,18611,32548,2206,4663
